                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1142,                 2.0237,                 1.1088,                0.61028,                0.59082,                0.61565,                0.42709,                 1.0474,                 1.0904,                 1.0068,              0.0033158,              0.0033158,              0.0033158
                      2,                 1.0443,                 1.1057,                 1.0751,                0.60115,                0.56442,                0.59515,                0.40615,                 1.1345,                 1.1916,                 1.0587,              0.0065833,              0.0065833,              0.0065833
                      3,                  1.119,                 1.1578,                 1.1169,                0.49058,                0.45157,                0.43591,                 0.2693,                 1.2978,                 1.7986,                 1.1744,              0.0097848,              0.0097848,              0.0097848
                      4,                 1.1916,                 1.2335,                 1.1696,                0.56634,                0.44548,                0.48267,                0.30023,                 1.3217,                 1.4392,                 1.2068,               0.009703,               0.009703,               0.009703
                      5,                 1.1496,                 1.1495,                 1.1556,                0.59631,                0.56003,                 0.5846,                0.38694,                 1.2102,                 1.1652,                 1.1217,               0.009604,               0.009604,               0.009604
                      6,                 1.1346,                 1.0912,                 1.1506,                0.66427,                0.60469,                0.65738,                0.43648,                 1.1717,                 1.0538,                 1.1156,               0.009505,               0.009505,               0.009505
                      7,                 1.1113,                 1.0355,                 1.1364,                0.67279,                0.58474,                0.64361,                0.43314,                 1.1555,                 1.0754,                 1.1138,               0.009406,               0.009406,               0.009406
                      8,                 1.0876,                0.98955,                 1.1258,                0.67743,                0.60485,                0.66407,                0.44793,                 1.1545,                 1.0164,                  1.096,               0.009307,               0.009307,               0.009307
                      9,                 1.0767,                0.96622,                 1.1174,                 0.6992,                0.65269,                0.69973,                0.48404,                 1.1043,                0.92632,                 1.0734,               0.009208,               0.009208,               0.009208
                     10,                 1.0595,                0.93518,                 1.1061,                0.70015,                0.64956,                0.71277,                0.49504,                 1.1009,                0.92702,                 1.0832,               0.009109,               0.009109,               0.009109
                     11,                 1.0436,                0.89762,                 1.1043,                0.70097,                0.67102,                0.72062,                0.50316,                 1.0841,                0.90275,                 1.0713,                0.00901,                0.00901,                0.00901
                     12,                   1.03,                0.87366,                 1.0988,                0.70063,                0.66686,                0.72374,                0.50655,                 1.0828,                0.89161,                 1.0721,               0.008911,               0.008911,               0.008911
                     13,                 1.0215,                0.85516,                 1.0855,                0.76335,                0.69027,                0.76146,                0.53888,                 1.0651,                0.82984,                 1.0548,               0.008812,               0.008812,               0.008812
                     14,                 1.0027,                 0.8426,                 1.0793,                0.72158,                0.69412,                 0.7481,                 0.5263,                  1.065,                0.84762,                 1.0615,               0.008713,               0.008713,               0.008713
                     15,                      1,                0.82602,                 1.0785,                0.73733,                0.70143,                0.76175,                0.54231,                 1.0552,                0.81607,                 1.0581,               0.008614,               0.008614,               0.008614
                     16,                0.99547,                0.81927,                 1.0838,                0.75958,                0.70331,                0.76983,                0.54765,                 1.0508,                0.80659,                 1.0549,               0.008515,               0.008515,               0.008515
                     17,                0.98364,                0.78942,                 1.0676,                0.77215,                0.70601,                0.78454,                0.56177,                 1.0353,                0.78677,                 1.0449,               0.008416,               0.008416,               0.008416
                     18,                0.97302,                 0.7745,                  1.062,                0.76008,                0.71686,                  0.781,                0.56237,                 1.0314,                0.77639,                 1.0445,               0.008317,               0.008317,               0.008317
                     19,                0.96809,                0.76468,                  1.055,                0.77061,                0.72498,                0.79474,                0.57124,                 1.0224,                0.77568,                 1.0319,               0.008218,               0.008218,               0.008218
                     20,                0.96257,                0.75585,                 1.0546,                0.77331,                0.71178,                0.78568,                0.56764,                 1.0263,                0.78177,                 1.0359,               0.008119,               0.008119,               0.008119
                     21,                0.95824,                0.73996,                 1.0521,                0.77666,                0.74181,                  0.804,                  0.584,                 1.0119,                0.74104,                 1.0296,                0.00802,                0.00802,                0.00802
                     22,                0.94752,                0.72009,                 1.0481,                0.78875,                0.72612,                 0.8024,                0.57863,                 1.0182,                0.74062,                 1.0281,               0.007921,               0.007921,               0.007921
